poi_id,name,category,description,atmosphere,highlight,recommended_for
1,平安神宮,歴史神社仏閣,京都を代表する神社で、明治時代に創建された比較的新しい神社。広大な神苑（庭園）が見どころ,静かで荘厳、広々としている,朱色の大鳥居と四季折々の美しい日本庭園,"Type A, Type B"
2,京都市京セラ美術館,文化・美術,1933年開館の京都市美術館をリニューアルした近代美術館。京都の美術コレクションを展示,落ち着いた文化的空間,建築美と充実した常設展・企画展,"Type A, Type D"
3,京都市動物園,自然・公園,日本で2番目に古い歴史ある動物園。コンパクトながら多様な動物を展示,家族連れで賑やか、親しみやすい,至近距離で動物と触れ合える展示,"Type D, Type F"
4,ロームシアター京都,文化・美術,京都を代表する文化施設で、コンサートや演劇などが開催される,文化的で洗練された雰囲気,建築デザインとカフェ・ショップも充実,"Type A, Type D"
5,京都伝統産業ミュージアム,文化・美術,京都の伝統工芸を紹介するミュージアム。西陣織や清水焼などの展示,静かで落ち着いた雰囲気,伝統工芸の技と美を間近で鑑賞できる,"Type A, Type D"
6,岡崎公園,自然・公園,平安神宮の前に広がる広大な公園。桜の名所として有名,開放的でリラックスできる,春の桜シーズンは特に美しい景観,"Type B, Type E, Type F"
7,南禅寺,歴史神社仏閣,京都五山の中でも最高位の格式を持つ禅寺。三門と水路閣が有名,静寂で禅的な雰囲気,重厚な三門と美しい庭園、レンガ造りの水路閣,"Type A, Type B"
8,日図デザイン博物館,文化・美術,デザインをテーマにした専門的な博物館。企画展が充実,静かで知的な空間,デザインの歴史と現代作品の展示,"Type A, Type D"
9,日向大神宮,歴史神社仏閣,京都の伊勢と呼ばれる神社。山間の静かな場所に位置,非常に静かで穴場的,京都市内とは思えない静寂と自然,"Type A, Type B"
10,蹴上インクライン,自然・公園,明治時代の傾斜鉄道跡。桜の名所でもあり、産業遺産として価値が高い,ノスタルジックで開放的,線路跡を歩ける珍しい体験と桜の景観,"Type B, Type E"
11,京都国立近代美術館,文化・美術,日本の近代美術を中心に収蔵・展示する国立美術館,静かで格調高い,質の高いコレクションと企画展,"Type A, Type D"
12,やきとり大吉東山三条店,グルメ,気軽に楽しめる焼き鳥チェーン店。リーズナブルで親しみやすい,カジュアルで気さくな雰囲気,手頃な価格で地元の味を楽しめる,"Type C, Type F"
13,山元麵蔵,グルメ,行列のできる人気うどん店。香川出身の店主が作る本格讃岐うどん,活気があり人気店,コシの強い本格うどんと出汁の旨味,"Type D, Type F"
14,京生麩のお店愛麩,グルメ,京都の伝統食材「生麩」の専門店。生麩料理や甘味が楽しめる,静かで和の雰囲気,珍しい生麩料理と京都らしい味わい,"Type A, Type D"
15,京都ハンディクラフトセンター,体験施設,伝統工芸の実演と体験ができる施設。外国人観光客にも人気,文化的で体験型,職人技の実演見学と工芸品の購入,"Type D, Type F"
16,神宮道商店街,買い物・ショッピング,平安神宮へ続く参道沿いの商店街。土産物店や飲食店が並ぶ,活気があり観光地らしい,京都土産の購入に便利,"Type E, Type F"
17,京都岡崎蔦屋書店,買い物・ショッピング,文化複合施設として知られる蔦屋書店。カフェ併設でゆっくり過ごせる,洗練されておしゃれ,書籍とカフェで落ち着いた時間を過ごせる,"Type A, Type F"
18,京つけもの大安本店,買い物・ショッピング,京都の漬物専門店。試食しながら購入できる,和風で親しみやすい,京都の伝統的な漬物の品揃え豊富,"Type D, Type F"
19,ホテルオークラ京都岡崎別邸,宿泊,岡崎エリアの高級ホテル。平安神宮に近い好立地,高級感があり静か,上質なサービスと快適な客室,"Type A, Type F"
20,The Hotel Higashiyama kyoto tokyu,宿泊,東山エリアの上質なホテル。観光に便利な立地,モダンで洗練された雰囲気,快適な設備と観光地へのアクセスの良さ,"Type A, Type F"
